00973749000115	000204253			08		R	25177,71	00000000004471	E	0,0000
06012316000180	000000584			20		R	39209,12	00000000004471	E	0,0000
06012316000180	000000585			20		R	91797,36	00000000004471	E	0,0000
06915161000191	000059432			10		R	5928,00	00000000004471	E	0,0000
06915161000191	000059436			10		R	5274,00	00000000004471	E	0,0000
13963668000186	000003667			24		R	4000,00	00000000004471	E	0,0000
17776965000173	000000825			03		R	31371,49	00000000004471	E	0,0000
17776965000173	000000826			03		R	2951,69	00000000004471	E	0,0000
17776965000173	000000827			06		R	9918,37	00000000004471	E	0,0000
18960355000198	000000538			02		R	18993,18	00000000004471	E	0,0000
20687246000190	000000990			03		R	3085,00	00000000004471	E	0,0000
23352484000133	000005507			02		R	7900,00	00000000004471	E	0,0000
23352484000133	000005510			14		R	2800,00	00000000004471	E	0,0000
35762218000168	000001604			14		R	4400,00	00000000004471	E	0,0000
50784057000105	000031453			14		R	50834,90	00000000004471	E	0,0000
50784057000105	000031464			15		R	14077,28	00000000004471	E	0,0000
52226073002577	000035548			15		R	2217,50	00000000004471	E	0,0000
54017313000181	000000177			06		R	5400,00	00000000004471	E	0,0000
62749650000191	000011826			17		R	2027,90	00000000004471	E	0,0000
65660532000109	000009381			16		R	48696,32	00000000004471	E	0,0000
87169900000145	000090502			08		R	34771,02	00000000004471	E	0,0000
